"1. ผู้สมัครต้องเป็นบุตร (บุตรโดยกำเนิดหรือบุตรบุญธรรมตามกฎหมาย)ของบุคคลตามเงื่อนไข ดังต่อไปนี้
1.1 บุคลากรประจำที่ปฎิบัติงานในมหาวิทยาลัยเกษตรศาสตร์ มาไม่น้อยกว่า 5 ปี และปัจจุบันยังปฏิบัติงานอยู่
1.2 นิสิตเก่าที่สำเร็จการศึกษาจากมหาวิทยาลัยเกษตรศาสตร์
2. เป็นนักเรียนระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า หรือตามที่คณะ/สาขาวิชากำหนด แบ่งเป็น
2.1 กรณีเป็นผู้กำลังศึกษาอยู่ในระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 5 ภาคการศึกษา (ม.4 - ม.6 เทอมต้น) 
2.2 กรณีเป็นผู้สำเร็จการศึกษาระดับชั้นมัธยมศึกษาปีที่ 6 หรือเทียบเท่า ต้องมีระดับคะแนนเฉลี่ยสะสม 6 ภาคการศึกษา (ม.4 - ม.6) 
3. มีผลคะแนนสอบ O-NET วิชาภาษาอังกฤษ ไม่ต่ำกว่า 16 คะแนน และคะแนนทดสอบวิชาอื่นของ สทศ. ตามที่คณะ/สาขาวิชา กำหนด",,,,,,,,,,,,,,,,,,,,,
"* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (คะแนนเต็ม 300 คะแนน)
** GAT
** PAT1
** PAT2
** PAT3
** PAT5
** PAT7
* วิชาสามัญ 9 วิชา (คะแนนเต็ม 100 คะแนน)
** 09
** 19
** 29
** 39
** 49
** 59
** 69
* O-NET
** วิชา 03
* แผนการเรียน
* GPAX
* คะแนนขั้นต่ำ/เงื่อนไขเฉพาะสาขา",,,,,,,,,,,,,,,,,,,,,
1,วิทยาศาสตร์,เคมี,4,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.00,"คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 3.00
วิชาคณิตศาสตร์ และภาษาอังกฤษ วิชาละไม่ต่ำกว่า 2.50"
2,วิทยาศาสตร์,เคมีอุตสาหกรรม,2,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
3,วิทยาศาสตร์,เคมีบูรณาการ (นานาชาติ),5,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
4,วิทยาศาสตร์,ชีวเคมี,1,,≥24,/,/,-,-,-,/,/,/,/,/,≥25,≥25,16,วิทย์-คณิต,3.00,-
5,วิทยาศาสตร์,พฤกษศาสตร์,2,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.75,-
6,วิทยาศาสตร์,พันธุศาสตร์,5,,-,≥40,≥80,-,-,-,-,-,-,-,-,-,-,25,วิทย์-คณิต,3.00,-
7,วิทยาศาสตร์,ฟิสิกส์,5,,-,≥50,≥70,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.00,-
8,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,3,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,3.00,"สัดส่วน GAT = 20% , PAT1 = 50% , PAT2 = 30%"
9,วิทยาศาสตร์,สถิติ,10,,,≥50,,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
10,วิทยาศาสตร์,ชีววิทยา,1,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
11,วิทยาศาสตร์,สัตววิทยา,1,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
12,วิทยาศาสตร์,วิทยาศาสตร์ชีวภาพและเทคโนโลยี (นานาชาติ),30,,,/,/,-,-,-,-,-,-,-,-,-,-,31,วิทย์-คณิต,2.50,-
13,ศึกษาศาสตร์,พลศึกษา,4,,≥90,-,-,-,≥60,-,-,-,-,-,-,-,-,16,-,2.50,-
14,สังคมศาสตร์,สังคมวิทยาและมานุษยวิทยา,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต/ศิลป์-คำนวณ/ศิลป์-ภาษา,2.75,-
15,สังคมศาสตร์,จิตวิทยา (จิตวิทยาคลินิก),1,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
16,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน),2,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
17,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ),1,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
18,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ),3,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
19,สังคมศาสตร์,จิตวิทยา (จิตวิทยาคลินิก) ภาคพิเศษ,3,,/,/,/,-,-,-,-,-,-,-,-,-,-,16,วิทย์-คณิต,2.50,-
