"1. เป็นนักเรียนที่ผ่านการศึกษาระดับชั้นมัธยมศึกษาปีที่ 4 มัธยมศึกษาปีที่ 5 และปัจจุบันกำลังศึกษาอยู่ชั้นมัธยมศึกษาปีที่ 6 ของโรงเรียนที่ ตั้งอยู่ในจังหวัดนนทบุรี ปทุมธานี นครปฐม สมุทรปราการ สมุทรสาคร กาญจนบุรี ประจวบคีรีขันธ์ เพชรบุรี ราชบุรี สมุทรสงคราม สุพรรณบุรี ชัยนาท พระนครศรีอยุธยา ลพบุรี สระบุรี สิงห์บุรี อ่างทอง อุทัยธานี ฉะเชิงเทรา ชลบุรี นครนายก ปราจีนบุรี สระแก้ว ระยอง จันทบุรี ตราด นครสวรรค์ พิจิตร ชัยภูมิ และเพชรบูรณ์ รวม 30 จังหวัด
2. ผู้สมัครจะต้องเป็นนักเรียนที่กำลังศึกษาอยู่ในโรงเรียนที่ตั้งอยู่ในจังหวัดที่ถูกระบุในโครงการนี้เท่านั้น โดยไม่คำนึงถึงว่าผู้สมัครจะมีภูมิลำเนาตามทะเบียนบ้านอยู่ในจังหวัดใด ยกเว้นคณะหรือสาขาวิชาที่กำหนดให้เป็นอย่างอื่น",,,,,,,,,,,,,,,
"* GPAX
* แผนการเรียน
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (คะแนนเต็มวิชาละ 300 คะแนน)
** GAT
** PAT1
** PAT2
** PAT3
** PAT4
** PAT5
** PAT7
* O-NET
** วิชา 03
* เงื่อนไขเฉพาะของสาขาวิชา",,,,,,,,,,,,,,,
1,เกษตร,คหกรรมศาสตร์,2,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
2,เกษตร,เคมีการเกษตร,1,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
3,เกษตร,วิทยาศาสตร์เกษตร,3,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
4,เกษตร,เกษตรเขตร้อน,1,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
5,เกษตร,อาหารและโภชนาการ,1,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
6,เกษตร,การจัดการศัตรูพืชและสัตว์,1,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
7,เกษตร,สัตวศาสตร์อุตสาหกรรม,1,,2.50,วิทย์-คณิต,≥75,≥75,≥75,-,-,-,-,16,-
8,ประมง,ประมง,5,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
9,วนศาสตร์,วนศาสตร์,5,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
10,วนศาสตร์,เทคโนโลยีผลิตภัณฑ์ไม้และกระดาษ,1,,2.50,วิทย์-คณิต,/,/,/,-,-,-,-,16,-
11,วิทยาศาสตร์,คณิตศาสตร์,2,,3.00,วิทย์-คณิต,≥180,≥40,≥80,-,-,-,-,16,-
