"1. ผู้สมัครต้องมีคุณสมบัติด้านศิลปวัฒนธรรม ข้อใดข้อหนึ่งดังต่อไปนี้
1.1 เป็นผู้มีความสามารถเล่นเครื่องดนตรีไทย ดนตรีสากล และดนตรีพื้นบ้านพื้นเมืองอีสาน
1.2 เป็นผู้มีความสามารถทางด้านนาฏศิลป์ไทย โขน ละคร
1.3 เป็นผู้มีความสามารถในการร้องเพลงไทยเดิม ไทยลูกทุ่ง ไทยสากล และขับร้องประสานเสียง",,,,,,,,,,,,,,,
"* วิชาเฉพาะ (60%)
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (40%)
** GAT
** PAT1
** PAT2
** PAT3
** PAT4
** PAT5
* O-NET
** วิชา 03
* เงื่อนไขเฉพาะ
* GPAX
* แผนการเรียน",,,,,,,,,,,,,,,
13,เกษตร,คหกรรมศาสตร์,3,คณะเกษตรรับรวมทุกสาขา 3 คน,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
12,เกษตร,เคมีการเกษตร,3,คณะเกษตรรับรวมทุกสาขา 3 คน,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
14,เกษตร,วิทยาศาสตร์เกษตร,3,คณะเกษตรรับรวมทุกสาขา 3 คน,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
15,เกษตร,เกษตรเขตร้อน,3,คณะเกษตรรับรวมทุกสาขา 3 คน,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
11,เกษตร,การจัดการศัตรูพืชและสัตว์,3,คณะเกษตรรับรวมทุกสาขา 3 คน,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
40,ประมง,ประมง,4,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
61,วนศาสตร์,วนศาสตร์,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
62,วนศาสตร์,เทคโนโลยีผลิตภัณฑ์ไม้และกระดาษ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
78,วิทยาศาสตร์,เคมี,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,20,คะแนนเฉลี่ยวิชาเคมี ไม่ต่ำกว่า 2.50,2.50,วิทย์-คณิต
71,วิทยาศาสตร์,ชีววิทยา,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.75,วิทย์-คณิต
72,วิทยาศาสตร์,ฟิสิกส์,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,3.00,วิทย์-คณิต
73,วิทยาศาสตร์,พันธุศาสตร์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,25,,3.00,วิทย์-คณิต
74,วิทยาศาสตร์,พฤกษศาสตร์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.75,วิทย์-คณิต
75,วิทยาศาสตร์,สัตววิทยา,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.75,วิทย์-คณิต
76,วิทยาศาสตร์,ชีวเคมี,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,3.00,วิทย์-คณิต
77,วิทยาศาสตร์,เคมีบูรณาการ (นานาชาติ),2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.75,วิทย์-คณิต
80,วิศวกรรมศาสตร์,เลือกในวันสอบสัมภาษณ์,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,-,/,-,-,16,,3.75,วิทย์-คณิต
91,ศึกษาศาสตร์,พลศึกษา,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,/,16,,2.50,วิทย์-คณิต
101,เศรษฐศาสตร์,เศรษฐศาสตร์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,-,-,-,-,16,มีคะแนนเฉลี่ยกลุ่มสาระวิชาคณิตศาสตร์ ภาษาอังกฤษ กลุ่มละ 2.75 ขึ้นไป ,2.50,วิทย์-คณิต/ศิลป์-คำนวณ
103,เศรษฐศาสตร์,เศรษฐศาสตร์เกษตรและทรัพยากร,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,≥60,≥60,-,-,-,-,16,,2.50,วิทย์-คณิต
102,เศรษฐศาสตร์,ธุรกิจการเกษตร,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,≥60,≥60,-,-,-,-,16,,2.50,วิทย์-คณิต
1203,สังคมศาสตร์,รัฐศาสตร์ (การปกครอง),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1204,สังคมศาสตร์,รัฐศาสตร์ (ความสัมพันธ์ระหว่างประเทศ),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1205,สังคมศาสตร์,รัฐศาสตร์ (บริหารงานยุติธรรมและความปลอดภัย),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1202,สังคมศาสตร์,รัฐประศาสนศาสตร์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1201,สังคมศาสตร์,ประวัติศาสตร์,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต/ศิลป์-คำนวณ/ศิลป์-ภาษา
1206,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน),3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1207,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1208,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ),3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1209,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน) ภาคพิเศษ,3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1210,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ) ภาคพิเศษ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
