1,คหกรรมศาสตร์,15,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
2,เคมีการเกษตร,15,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
3,วิทยาศาสตร์เกษตร,90,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
4,เกษตรเขตร้อน,10,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
5,อาหารและโภชนาการ,15,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
6,การจัดการศัตรูพืชและสัตว์,15,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
7,สัตวศาสตร์อุตสาหกรรม,15,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
8,เกษตรเขตร้อน (นานาชาติ),10,2.5,วิทย์-คณิต,x̅,-,-,-,-,-,-,-,-,-,56,/,/,/,/,∑x̅,16,-,-,-
9,ประมง,140,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
10,วนศาสตร์,15,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
11,เทคโนโลยีผลิตภัณฑ์ไม้และกระดาษ,5,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
12,คณิตศาสตร์,10,2.75,วิทย์-คณิต,180,40,80,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
13,เคมี,50,3,วิทย์-คณิต,60,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-
14,ชีววิทยา,4,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
15,สถิติ,20,2,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
16,ฟิสิกส์,10,2.75,วิทย์-คณิต,-,50,70,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
17,จุลชีววิทยา,10,2.75,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
18,พันธุศาสตร์,10,-,วิทย์-คณิต,150,50,100,-,-,-,-,-,-,-,30,30,25,30,40,185,30,-,-,-
19,พฤกษศาสตร์,5,3,วิทย์-คณิต,130,30,60,-,-,-,-,-,-,-,25,25,20,25,35,-,16,-,-,-
20,สัตววิทยา,4,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
21,ชีวเคมี,5,3,วิทย์-คณิต,24,-,-,-,-,-,-,-,/,/,/,/,/,25,25,220,16,-,-,-
22,วิทยาศาสตร์พื้นพิภพ,20,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
23,เคมีอุตสาหกรรม,15,3,วิทย์-คณิต,60,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-
24,วิทยาศาสตร์ชีวภาพรังสี,10,-,วิทย์-คณิต,150,50,100,-,-,-,-,300,-,-,30,30,25,30,40,185,30,-,-,-
25,วิทยาศาสตร์นิวเคลียร์,10,-,วิทย์-คณิต,150,50,100,-,-,-,-,300,-,-,30,30,30,30,40,190,30,-,-,-
26,วิทยาการคอมพิวเตอร์,18,-,วิทย์-คณิต,120,40,80,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
27,วิทยาการคอมพิวเตอร์ (ภาคพิเศษ),50,-,วิทย์-คณิต,100,35,70,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
28,วิทยาศาสตร์ชีวภาพและเทคโนโลยี (นานาชาติ),80,2,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-
29,เคมีบูรณาการ (นานาชาติ),30,2,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
30,วิศวกรรมเครื่องกล,55,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
31,วิศวกรรมไฟฟ้า,60,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
32,วิศวกรรมโยธา,60,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
33,วิศวกรรมอุตสาหการ,50,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
34,วิศวกรรมคอมพิวเตอร์,50,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
35,วิศวกรรมเคมี,25,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
